ASSAY_ID,AUC_C,assay_chembl_id,8,16,32,64,96,Task,AUC_r
688267,0.6009794776119403,CHEMBL1614530,0.53,0.57,0.6,0.65,0.67,688267,0.3990205223880597
600886,0.5250342935528122,CHEMBL1040692,0.53,0.56,0.57,0.61,0.65,600886,0.4749657064471879
737826,0.5355891200090809,CHEMBL1741325,0.58,0.64,0.66,0.68,0.7,737826,0.4644108799909191
737824_1,0.5573639587590127,CHEMBL1741323,0.6,0.64,0.67,0.7,0.7,737824_1,0.4426360412409874
737825,0.5709372621663148,CHEMBL1741324,0.56,0.55,0.57,0.59,0.6,737825,0.4290627378336852
1495405,0.7520433519954491,CHEMBL3562136,0.59,0.64,0.71,0.74,0.74,1495405,0.2479566480045508
737053,0.4281891168599465,CHEMBL1738598,0.5,0.5,0.53,0.54,0.58,737053,0.5718108831400536
737400,0.5740291262135923,CHEMBL1738606,0.54,0.57,0.59,0.63,0.66,737400,0.4259708737864077
736947,0.646930277376282,CHEMBL1738312,0.54,0.53,0.58,0.57,0.58,736947,0.353069722623718
752347,0.6186000716075903,CHEMBL1794311,0.6,0.7,0.75,0.77,0.77,752347,0.3813999283924095
752496,0.6002722323049001,CHEMBL1794486,0.53,0.56,0.6,0.63,0.63,752496,0.3997277676950999
752509,0.7007119386637458,CHEMBL1794499,0.53,0.58,0.6,0.6,0.62,752509,0.2992880613362541
752594,0.754235667049243,CHEMBL1794584,0.76,0.78,0.81,0.8,0.82,752594,0.2457643329507569
809095,0.6402815934065935,CHEMBL1964081,0.54,0.66,0.68,0.69,0.69,809095,0.3597184065934066
845173,0.8166390728476821,CHEMBL2114784,0.7,0.85,0.87,0.87,0.88,845173,0.1833609271523179
845196,0.2351696234049175,CHEMBL2114807,0.65,0.73,0.74,0.77,0.8,845196,0.7648303765950826
954338,0.503329473074696,CHEMBL2354287,0.5,0.52,0.53,0.54,0.54,954338,0.496670526925304
845206,0.498641765704584,CHEMBL2114817,0.54,0.57,0.63,0.61,0.61,845206,0.5013582342954159
