ASSAY_ID,CHEMBL_ID
600885,CHEMBL1040691
688422,CHEMBL1614544
688493,CHEMBL1613914
688810,CHEMBL1613836
688812,CHEMBL1613838
688816,CHEMBL1613842
688721,CHEMBL1614361
688724,CHEMBL1614364
688739,CHEMBL1614421
688759,CHEMBL1614441
688238,CHEMBL1614458
688239,CHEMBL1614459
688141,CHEMBL1614174
688155,CHEMBL1614234
688157,CHEMBL1614236
688171,CHEMBL1614250
688317,CHEMBL1614257
688267,CHEMBL1614530
688360,CHEMBL1614342
688620,CHEMBL1614087
688653,CHEMBL1614146
688612,CHEMBL1614079
600885,CHEMBL1040691
600886,CHEMBL1040692
688422,CHEMBL1614544
688816,CHEMBL1613842
688239,CHEMBL1614459
688620,CHEMBL1614087
688422,CHEMBL1614544
688816,CHEMBL1613842
737822,CHEMBL1741321
737826,CHEMBL1741325
737823,CHEMBL1741322
737824,CHEMBL1741323
737825,CHEMBL1741324
752386,CHEMBL1794324
752310,CHEMBL1794349
809005,CHEMBL1963972
1301435,CHEMBL3214992
1301666,CHEMBL3215227
1495242,CHEMBL3561973
1495404,CHEMBL3562135
1495405,CHEMBL3562136
1495415,CHEMBL3562146
737121,CHEMBL1737865
737370,CHEMBL1738513
737357,CHEMBL1738500
737098,CHEMBL1613884
688444,CHEMBL1613820
688279,CHEMBL1613794
809021,CHEMBL1963988
809009,CHEMBL1963976
809014,CHEMBL1963981
809018,CHEMBL1963985
809022,CHEMBL1963989
809023,CHEMBL1963990
809024,CHEMBL1963991
809027,CHEMBL1963994
809031,CHEMBL1964017
809032,CHEMBL1964018
809035,CHEMBL1964021
809039,CHEMBL1964025
809044,CHEMBL1964030
809048,CHEMBL1964034
809051,CHEMBL1964037
809054,CHEMBL1964040
809057,CHEMBL1964043
809059,CHEMBL1964045
809061,CHEMBL1964047
809062,CHEMBL1964048
809073,CHEMBL1964059
809076,CHEMBL1964062
809077,CHEMBL1964063
809079,CHEMBL1964065
809080,CHEMBL1964066
809086,CHEMBL1964072
809089,CHEMBL1964075
809091,CHEMBL1964077
809099,CHEMBL1964085
809100,CHEMBL1964086
809101,CHEMBL1964087
809102,CHEMBL1964088
809105,CHEMBL1964091
809106,CHEMBL1964092
809113,CHEMBL1964099
809292,CHEMBL1963844
809302,CHEMBL1963854
809308,CHEMBL1963860
809314,CHEMBL1963866
809316,CHEMBL1963868
809322,CHEMBL1963874
809324,CHEMBL1963876
809328,CHEMBL1963880
809330,CHEMBL1963882
809333,CHEMBL1963885
809335,CHEMBL1963887
809337,CHEMBL1963889
809343,CHEMBL1963895
809348,CHEMBL1963900
809349,CHEMBL1963901
809351,CHEMBL1963903
809359,CHEMBL1963911
809369,CHEMBL1963921
809370,CHEMBL1963922
809377,CHEMBL1963929
809393,CHEMBL1963945
809401,CHEMBL1963953
809408,CHEMBL1963960
809409,CHEMBL1963961
809411,CHEMBL1963963
809423,CHEMBL1964004
809425,CHEMBL1964006
809426,CHEMBL1964007
809428,CHEMBL1964009
809431,CHEMBL1964012
737256,CHEMBL1738183
737262,CHEMBL1738239
737390,CHEMBL1738578
737452,CHEMBL1738682
737622,CHEMBL1738131
737212,CHEMBL1614170
737403,CHEMBL1614276
737353,CHEMBL1738497
737421,CHEMBL1738639
736962,CHEMBL1738369
737022,CHEMBL1738552
737053,CHEMBL1738598
752398,CHEMBL1794336
752327,CHEMBL1794366
752533,CHEMBL1794523
809336,CHEMBL1963888
845098,CHEMBL2114896
845258,CHEMBL2114926
1495389,CHEMBL3562120
1495390,CHEMBL3562121
1495392,CHEMBL3562123
1495393,CHEMBL3562124
1495295,CHEMBL3562026
1495296,CHEMBL3562027
1495265,CHEMBL3561996
1495307,CHEMBL3562038
1495312,CHEMBL3562043
1495290,CHEMBL3562021
1495338,CHEMBL3562069
1495260,CHEMBL3561991
1495408,CHEMBL3562139
737187,CHEMBL1737991
737127,CHEMBL1737868
737173,CHEMBL1737980
737400,CHEMBL1738606
737623,CHEMBL1738132
737717,CHEMBL1738402
737718,CHEMBL1613775
737287,CHEMBL1738317
737344,CHEMBL1738442
737407,CHEMBL1738610
736947,CHEMBL1738312
736963,CHEMBL1613800
752347,CHEMBL1794311
752328,CHEMBL1794367
752407,CHEMBL1794345
752411,CHEMBL1794401
752493,CHEMBL1794483
752471,CHEMBL1794461
752434,CHEMBL1794424
752496,CHEMBL1794486
752509,CHEMBL1794499
752563,CHEMBL1794553
752546,CHEMBL1794536
752522,CHEMBL1794512
752590,CHEMBL1794580
752594,CHEMBL1794584
752477,CHEMBL1794467
809095,CHEMBL1964081
809421,CHEMBL1964002
845045,CHEMBL2114843
845063,CHEMBL2114861
845102,CHEMBL2114713
845127,CHEMBL2114738
845164,CHEMBL2114775
845133,CHEMBL2114744
845169,CHEMBL2114780
845173,CHEMBL2114784
845177,CHEMBL2114788
845185,CHEMBL2114796
845196,CHEMBL2114807
845199,CHEMBL2114810
845186,CHEMBL2114797
845225,CHEMBL2114836
845231,CHEMBL2114842
954272,CHEMBL2354221
954305,CHEMBL2354254
954338,CHEMBL2354287
954333,CHEMBL2354282
1301428,CHEMBL3214953
1301460,CHEMBL3215017
1301485,CHEMBL3215046
1301620,CHEMBL3215181
1301608,CHEMBL3215169
1301593,CHEMBL3215154
1301717,CHEMBL3215278
1301709,CHEMBL3215270
688671,CHEMBL1614211
845206,CHEMBL2114817
1301866,CHEMBL3214913
1301890,CHEMBL3214967
1301859,CHEMBL3214906
1301893,CHEMBL3214970
1495346,CHEMBL3562077
