,Task,AUC
0,1,0.5508314436885865
1,10,0.4456971677559913
2,100,0.9104347826086957
3,101,0.9720657428990762
4,102,0.8535474941724942
5,103,0.9575345950345951
6,104,0.9793530641934898
7,105,0.9277223805001583
8,106,0.9391025641025642
9,107,0.9239224137931036
10,108,0.9134615384615384
11,109,0.9192151675485007
12,11,0.6741928210678211
13,110,0.9288510101010101
14,111,0.8882011605415862
15,112,0.9251190476190475
16,113,0.8365687700794084
17,114,0.9587241462241461
18,115,0.9673115079365079
19,116,0.24074074074074078
20,117,0.3656274281274281
21,118,0.6458333333333333
22,119,0.5310846560846562
23,12,0.5050798068890173
24,120,0.3814814814814815
25,121,0.6875
26,122,0.4011904761904762
27,123,0.5763888888888888
28,124,0.5520833333333334
29,125,0.6333333333333333
30,126,0.8597222222222222
31,127,0.5888888888888889
32,128,0.3611111111111111
33,129,0.516087962962963
34,13,0.5740295584045584
35,130,0.5261904761904762
36,131,0.7536075036075035
37,132,0.1294642857142857
38,133,0.48888888888888893
39,134,0.9166666666666666
40,135,0.8541666666666667
41,136,0.5439814814814815
42,137,0.5083333333333334
43,138,0.6342592592592592
44,139,0.6833333333333332
45,14,0.46804232804232804
46,140,0.7791666666666668
47,141,0.6375
48,142,0.5960493827160493
49,143,0.5888888888888889
50,144,0.850925925925926
51,145,0.9166666666666666
52,146,0.9351851851851851
53,147,0.591215450268315
54,148,0.6826923076923076
55,149,0.6875
56,15,0.4637769637769638
57,150,0.5390730366220563
58,151,0.4669312169312169
59,152,0.5990079365079365
60,153,0.6597222222222222
61,154,0.6023899264445483
62,155,0.5071571665168823
63,156,0.6972690272690274
64,157,0.5249065148309943
65,158,0.5314477128299879
66,159,0.6367438236231527
67,16,0.3900883838383838
68,160,0.7950617283950617
69,161,0.5246060540529435
70,162,0.5143993697633913
71,163,0.5498039423653106
72,164,0.5009696606187833
73,165,0.6040062615955473
74,166,0.53369708994709
75,167,0.6009112322614997
76,168,0.6814127397080117
77,169,0.5
78,17,0.42178030303030306
79,170,0.6982142857142857
80,171,0.5374971613247107
81,172,0.7103464242724667
82,173,0.3244047619047619
83,174,0.5119684829059828
84,175,0.4142857142857143
85,176,0.6652282487460319
86,177,0.5576738910372653
87,178,0.4617660202412755
88,179,0.4479475615737882
89,18,0.5129730017006803
90,180,0.5754339733841465
91,181,0.6203703703703703
92,182,0.784013291703598
93,183,0.7982410518914481
94,184,0.5338511850286966
95,185,0.6757900359874044
96,186,0.7147856453857502
97,187,0.38245029345359205
98,188,0.5416666666666666
99,189,0.4966858626919603
100,19,0.6378968253968255
101,190,0.4923611111111111
102,191,0.6159343045608366
103,192,0.5454029657261779
104,193,0.5416322084802975
105,194,0.38350212553138285
106,195,0.3438888888888889
107,196,0.6552482103952691
108,197,0.5041956018518517
109,198,0.6332106293285156
110,199,0.6922808732486153
111,2,0.44141522637763236
112,20,0.4137400217003797
113,200,0.6527777777777778
114,201,0.5244714303207051
115,202,0.8302365699390871
116,203,0.47804073820824894
117,204,0.6363918002075898
118,205,0.6649547371802843
119,206,0.4867003367003367
120,207,0.6428571428571429
121,208,0.6334422657952069
122,209,0.7328023729744751
123,21,0.5108974358974359
124,22,0.5791666666666667
125,23,0.4481792717086835
126,24,0.5806404379933792
127,25,0.5636243386243386
128,26,0.4363194444444444
129,27,0.5004377104377105
130,28,0.5520085470085471
131,29,0.37759740259740254
132,3,0.8093475877192983
133,30,0.3696962759462759
134,31,0.6346175141566048
135,32,0.5907991009075438
136,33,0.481853495170994
137,34,0.524039156371884
138,35,0.4952036166371511
139,36,0.4298245614035088
140,37,0.6562106324011086
141,38,0.4230769230769231
142,39,0.8194444444444445
143,4,0.5108974358974359
144,40,0.6206349206349207
145,41,0.40956694271911664
146,42,0.49648029439696106
147,43,0.6239348438459246
148,44,0.5650977342680981
149,45,0.6874338624338625
150,46,0.2896825396825397
151,47,0.6731647981647981
152,48,0.2
153,49,0.7121309246309245
154,5,0.5083333333333333
155,50,0.5621082621082621
156,51,0.5264069264069264
157,52,0.8830473619947304
158,53,0.9802752944515397
159,54,0.9477372509287404
160,55,0.906951011294983
161,56,0.9762050170738114
162,57,0.9230246913580246
163,58,0.8594738594738596
164,59,0.9777777777777779
165,6,0.44995974235104663
166,60,0.9130357142857143
167,61,0.9810725148889401
168,62,0.9301705426356589
169,63,0.8771877428127429
170,64,0.9501130490956072
171,65,0.9637037037037036
172,66,0.9344647944647945
173,67,0.9814814814814815
174,68,0.9080884800076072
175,69,0.9576343970871708
176,7,0.5805555555555556
177,70,0.956775183836653
178,71,0.9371541950113379
179,72,0.945391414141414
180,73,0.9883940143749265
181,74,0.8969037532515793
182,75,0.8780207512477016
183,76,0.9616379310344826
184,77,0.9046957671957673
185,78,0.9750560795101025
186,79,0.9453783870450537
187,8,0.37453703703703706
188,80,0.9861111111111112
189,81,0.9159889962426194
190,82,0.9593679854096521
191,83,0.9367592592592593
192,84,0.9303148312465083
193,85,0.9331037970743853
194,86,0.9862462006079027
195,87,0.9008648124110339
196,88,0.9437149270482604
197,89,0.9379073858240524
198,9,0.2867040487692661
199,90,0.9654347887106508
200,91,0.9075351731601732
201,92,0.9803418803418804
202,93,0.9008212081128747
203,94,0.8938609063609064
204,95,0.9013157894736842
205,96,0.8888888888888888
206,97,0.9166666666666666
207,98,0.9124643874643875
208,99,0.9258695652173914
