Task,Test_AUC
0,0.39644322883558036
1,0.6679218122898857
2,0.5368290756970644
3,0.3635691117428417
4,0.5744605124813457
5,0.45181872351673436
6,0.7730616295166257
7,0.3732960390946503
8,0.6851132894155317
9,0.56469274556479
10,0.66515559785136
11,0.4131716674590556
12,0.5064136737747846
13,0.63921079032794
14,0.420029998429121
15,0.7263283536609987
16,0.40347088152409133
17,0.41348197634273237
18,0.5899211771775613
19,0.5257429185239046
20,0.3635691117428417
21,0.44759040821904206
22,0.4884602194787377
23,0.49566672655732136
24,0.6889031764252816
25,0.5493662904194493
26,0.38584992677152
27,0.5587150112395416
28,0.528240931615644
29,0.4971360609178707
30,0.6338719692587084
31,0.7280835964450784
32,0.5521536169260762
33,0.7089691444966869
34,0.6325065440113976
35,0.5004473560500107
36,0.5876542815496307
37,0.5647372159090907
38,0.8592522446689114
39,0.432732990898044
40,0.8835912030937106
41,0.8357862855719086
42,0.785231123288237
43,0.8018648307487277
44,0.4033576615728676
45,0.48841972552910035
46,0.6611654649201696
47,0.534895833333333
48,0.7162893853089766
49,0.6049562910278993
50,0.5027502423829816
51,0.9403963524709247
52,0.971667551262983
53,0.949611005996989
54,0.947153001160148
55,0.9669655849672872
56,0.9522650476601647
57,0.8968673028540667
58,0.9599394833225322
59,0.912347191815665
60,0.9437557237963045
61,0.9342062899290019
62,0.8863467768161787
63,0.9700081102592774
64,0.9316408548383217
65,0.9122268341663834
66,0.9575078721520717
67,0.9651048536225867
68,0.9291359033609506
69,0.9284634896561483
70,0.9609843093965228
71,0.905294539505177
72,0.9890056686892214
73,0.898425130970245
74,0.8690526449192193
75,0.9341714704386836
76,0.8817492022096074
77,0.9389732805727943
78,0.9376556456875867
79,0.9512484388113759
80,0.9338673703118886
81,0.9630115143912562
82,0.9525432245552032
83,0.9422847485697033
84,0.9261663140360277
85,0.9606038050879827
86,0.9363579498934209
87,0.9424301341188744
88,0.825233031036837
89,0.9062026748653192
90,0.9419186916822927
91,0.9654013158110577
92,0.9350227054892447
93,0.8696384515890353
94,0.909801454744084
95,0.8610530605213387
96,0.8309492091981273
97,0.9284851360089103
98,0.848587652157202
99,0.933194016566807
100,0.9462554766592467
101,0.9026392136577748
102,0.9422019556261935
103,0.9365031832293363
104,0.9551976491470789
105,0.9531109494938387
106,0.932656359614611
107,0.9471304618729937
108,0.9072713024247007
109,0.8299974247665077
110,0.9689818668895537
111,0.94329176155988
112,0.9281599123650744
113,0.9481105073860386
114,0.9364699196992387
115,0.688715277777778
116,0.4690319155997296
117,0.8332196593915344
118,0.510561945998214
119,0.7278317901234566
120,0.4551675365194383
121,0.513277867965368
122,0.49019053381032535
123,0.607587167502435
124,0.7635995370370371
125,0.88634025439581
126,0.58752466300117
127,0.563443732193732
128,0.5109009681581863
129,0.7709149064865047
130,0.4754946538800706
131,0.32635582010582004
132,0.60582398402407
133,0.9373054555657391
134,0.8804253472222225
135,0.48119352746466265
136,0.5923734392055521
137,0.7315962888291517
138,0.67384469745065
139,0.482615611533191
140,0.46407246127238605
141,0.7160905934343437
142,0.5444698178270007
143,0.5471532399122263
144,0.9373054555657391
145,0.9389706265489203
146,0.621304612030028
147,0.686964324911502
148,0.42108832465277746
149,0.567459210079266
150,0.6087733449364553
151,0.5754887636453053
152,0.6752315648397347
153,0.7343141632753477
154,0.6398018982835306
155,0.5889934730528383
156,0.6134736620976547
157,0.6487291893780024
158,0.8176974012118498
159,0.9059873379728144
160,0.7035253880911977
161,0.62166679646413
162,0.6395661639238474
163,0.4176992167214553
164,0.6427248618405806
165,0.46298664094745196
166,0.599251969654359
167,0.691596439147196
168,0.6292417838835896
169,0.6188138902117397
170,0.7892201197921848
171,0.8254513493341756
172,0.466903205605248
173,0.5620106529461877
174,0.7818467024938439
175,0.7982934446626494
176,0.585519053338795
177,0.5147125707466497
178,0.5820008788071434
179,0.754954434657838
180,0.4189320917790693
181,0.8394629166381894
182,0.8828824721186423
183,0.69045903022621
184,0.6106890102051237
185,0.81508199754126
186,0.5364803396937273
187,0.5109850363756613
188,0.6947963388664943
189,0.6562851642875517
190,0.6983097426108896
191,0.681709139168751
192,0.5399463936226143
193,0.5967967034933483
194,0.5198860504850087
195,0.6389418084197094
196,0.5233935980292154
197,0.6182146049951317
198,0.8663085777941927
199,0.5946793348397487
200,0.5973035982563953
201,0.7711565873167393
202,0.6016266701935934
203,0.5810172064437821
204,0.8379700732292377
205,0.6541316569036256
206,0.5154097773368607
207,0.762384037250166
208,0.8066687433037053
209,0.7116081745752186
